3973319.47, -13134488.1
3974304.62, -13135799.11
3978577.98, -13141965.32
3981149.49, -13144866.31
3988225.77, -13149716.17
3994637.14, -13148438.44
3995104.91, -13147959.88
3995938.08, -13146677.7
3996507.8, -13145943.77
3998369.12, -13146456.51
3999019.85, -13146497.59
4000038.81, -13146105.07
4000142.48, -13146054.87
4001434.53, -13145366.36
4002160.86, -13145177.67
4002757.95, -13144829.35
4003166.16, -13144490.05
4003331.09, -13144353.24
4003622.35, -13144108.11
4003844.36, -13143921.65
4004007.02, -13143776.49
4004144.62, -13143537.04
4004459.63, -13143003.49
4004588.39, -13142769.38
4004843.65, -13142743.67
4005035.26, -13142745.34
4005488.05, -13142744.56
4005821.18, -13142748.68
4006308.3, -13142649.16
4006619.75, -13142438.32
4006648.3, -13142364.85
4006658.48, -13142304.96
4007522.51, -13142270.9
4008159.96, -13142230.71
4008172.02, -13141967.33
4008316.51, -13141790.66
4008655.09, -13141793.0
4009159.35, -13141272.92
4009169.14, -13140831.09
4009500.1, -13140836.88
4009738.58, -13140841.55
4009851.05, -13140495.57
4009882.55, -13140349.52
4010155.35, -13140362.55
4010332.57, -13140330.82
4010334.32, -13140149.93
4010374.0, -13139879.86
4010684.48, -13139884.87
4010825.79, -13139573.4
4011292.07, -13138901.14
4011812.41, -13138114.67
4011817.1, -13137390.54
4011833.73, -13136968.19
4012005.08, -13136968.08
4012336.93, -13136965.63
4012548.38, -13136972.76
4012824.06, -13136919.77
4012823.52, -13136047.25
4013359.48, -13136014.52
4013795.97, -13135876.93
4013798.52, -13135602.97
4013800.13, -13135314.32
4013958.63, -13135038.25
4014196.93, -13135040.92
4014780.57, -13134835.53
4014778.69, -13134552.78
4014793.31, -13134070.43
4015718.58, -13134082.79
4015754.66, -13133846.68
4015759.89, -13133095.61
4016731.78, -13133100.4
4017203.27, -13133084.81
4017705.23, -13133084.7
4019089.69, -13133088.71
4019348.22, -13133087.59
4019679.61, -13133088.71
4019812.31, -13133088.15
4019916.96, -13133087.93
4020085.48, -13133087.71
4020346.32, -13133087.48
4020461.84, -13133087.26
4020636.81, -13133086.93
4020763.88, -13133086.7
4020872.84, -13133086.37
4021000.44, -13133086.04
4021171.93, -13133085.7
4021542.16, -13133085.37
4021561.61, -13132127.91
4021558.93, -13132005.12
4021563.36, -13130612.74
4021563.76, -13130186.05
4021564.3, -13129701.14
4021564.7, -13129306.18
4021564.84, -13129040.8
4021564.97, -13128385.12
4021564.84, -13128089.57
4021564.7, -13127759.51
4021554.5, -13127391.15
4021549.0, -13126848.02
4021678.23, -13126324.27
4021593.42, -13125891.01
4021562.02, -13125283.65
4021564.17, -13123249.51
4021536.25, -13121181.3
4021670.04, -13118853.17
4021661.72, -13117435.96
4021642.53, -13113897.45
4021636.63, -13112532.0
4021457.89, -13111400.66
4020929.46, -13110777.94
4020181.01, -13109900.19
4019566.78, -13109199.43
4018267.98, -13107672.68
4017325.61, -13106465.31
4016805.02, -13105802.18
4016139.46, -13104972.74
4015618.79, -13104311.83
4014604.62, -13103010.84
4013383.76, -13101437.56
4012229.93, -13100019.35
4011495.19, -13099404.54
4011288.59, -13099246.8
4010413.82, -13099478.79
4009688.04, -13098252.6
4008585.12, -13097242.82
4006238.49, -13095438.22
4002176.27, -13092398.42
3999177.22, -13090052.81
3997890.91, -13089034.9
3997486.23, -13088349.06
3996772.39, -13085947.23
3996339.36, -13084239.59
3995397.05, -13084042.22
3994872.37, -13084013.72
3992276.63, -13083941.36
3990306.16, -13083870.79
3990106.23, -13083835.83
3989786.26, -13082650.61
3989629.16, -13081652.86
3987473.84, -13075559.9
3987134.82, -13075154.92
3986135.46, -13073949.99
3983436.04, -13070698.68
3982825.38, -13070527.03
3981883.77, -13071155.32
3980936.75, -13071772.69
3974954.92, -13075689.03
3974026.92, -13076289.59
3970164.29, -13078848.72
3968416.92, -13079930.97
3967134.58, -13080735.92
3964845.39, -13081152.47
3964611.19, -13080945.98
3963948.78, -13080415.32
3962713.26, -13081123.87
3958990.01, -13081100.38
3957805.2, -13081000.41
3956759.28, -13083038.12
3955870.36, -13084717.93
3955410.72, -13086282.97
3955510.92, -13087231.97
3955578.03, -13087649.64
3955643.94, -13088288.05
3954759.38, -13088994.93
3953337.28, -13089316.42
3950524.69, -13089929.02
3949878.29, -13090051.02
3949525.04, -13090118.04
3948149.99, -13090451.44
3947907.85, -13090495.52
3947753.58, -13090529.25
3947286.26, -13090630.11
3946107.05, -13090866.88
3941341.81, -13094687.37
3944462.88, -13097824.13
3947225.47, -13101038.59
3949868.29, -13106915.04
3954559.79, -13110772.59
3958204.88, -13113222.51
3960642.38, -13115258.1
3961549.82, -13116632.12
3964340.26, -13121386.57
3967010.37, -13125924.07
3973313.32, -13134479.98
